CODE ADHERENT;NOM FOURNISSEUR;TYPE DE PIECE;DOCUMENT NUMBER;DATE;LIGNE_FACTURE;FAMILLE;REF PRODUIT;LIBELEE PRODUIT;ETAT DEPOT;QUANTITE;VAT rate;PRIX D'ACHAT CATALOGUE HT;PRIX D'ACHAT REEL HT;PRIX D'ACHAT REEL TTC;DELIVERY NOTE NUMBER;DELIVERY NOTE Date;CUST.REF;ANCIEN N° SERIE ;N° SERIE
INNO017;STARKEY;FA;21424648;2021-09-24;23;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3909344;2021-09-24;;;
INNO017;STARKEY;FA;4184445;2021-09-21;24;PR;64233-111;STARKEY BTE13 MUSE IQ i1200 Sterling;ENVOI_DEPOT;1;0550;179,00;195,00;205,73;3905954;2021-09-21;MAIL 16/09;;211725778
INNO017;STARKEY;FA;4184445;2021-09-21;25;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;ENVOI_DEPOT;1;0550;0,02;0,02;0,02;3905954;2021-09-21;MAIL 16/09;;
INNO017;STARKEY;FA;4184445;2021-09-21;26;PR;64233-111;STARKEY BTE13 MUSE IQ i1200 Sterling;ENVOI_DEPOT;1;0550;179,00;195,00;205,73;3905954;2021-09-21;MAIL 16/09;;211725740
INNO017;STARKEY;FA;4184445;2021-09-21;27;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;ENVOI_DEPOT;1;0550;0,02;0,02;0,02;3905954;2021-09-21;MAIL 16/09;;
INNO001;STARKEY;FA;21424649;2021-09-24;1;REPA;RRCICC2;FORFAIT REPARATION 2;;1;0550;123,00;123,00;129,77;3905007;2021-09-20;;;7016201637
INNO001;STARKEY;FA;21424649;2021-09-24;2;REPA;RRCICC2;FORFAIT REPARATION 2;;1;0550;123,00;123,00;129,77;3905007;2021-09-20;;;7016201636
INNO001;STARKEY;FA;21424649;2021-09-24;3;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3906100;2021-09-21;;;200303572
INNO001;STARKEY;FA;21424649;2021-09-24;4;AC;18616-133;ECOUTEUR RIC SNAPFIT 50dB DROIT Taille 3 Courbe;;1;0550;29,00;14,50;15,30;3906167;2021-09-21;;;
INNO001;STARKEY;FA;21424649;2021-09-24;5;REPA;RRCICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3906561;2021-09-21;;;7018191423
INNO001;STARKEY;FA;21424649;2021-09-24;6;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3906604;2021-09-21;;;180348947
INNO001;STARKEY;FA;21424649;2021-09-24;7;AC;63199-110;STARKEY RIC R LIVIO EDGE AI CROS/BICROS Champagne;;1;0550;750,00;375,00;395,63;3906701;2021-09-22;;;211593456
INNO001;STARKEY;FA;21424649;2021-09-24;8;PR;63082-106;STARKEY LIVIO AI 1600 RIC 312 Black;;1;0550;905,00;344,35;363,29;3906701;2021-09-22;;;211205526
INNO001;STARKEY;FA;21424649;2021-09-24;9;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3906701;2021-09-22;;;
INNO001;STARKEY;FA;21424649;2021-09-24;10;AC;18616-132;ECOUTEUR RIC SNAPFIT 50dB DROIT Taille 2 Courbe;;4;0550;29,00;58,00;61,19;3906984;2021-09-22;;;
INNO001;STARKEY;FA;21424649;2021-09-24;11;AC;18617-132;ECOUTEUR RIC SNAPFIT 50dB GAUCHE Taille 2 Courbe;;4;0550;29,00;58,00;61,19;3906984;2021-09-22;;;
INNO001;STARKEY;FA;21424649;2021-09-24;12;AC;18623-133;ECOUTEUR RIC SNAPFIT 60dB GAUCHE Taille 3 Courbe;;4;0550;29,00;58,00;61,19;3906984;2021-09-22;;;
INNO001;STARKEY;FA;21424649;2021-09-24;13;AC;18622-133;ECOUTEUR RIC SNAPFIT 60dB DROIT Taille 3 Courbe;;4;0550;29,00;58,00;61,19;3906984;2021-09-22;;;
INNO001;STARKEY;FA;21424649;2021-09-24;14;PR;63081-102;STARKEY LIVIO AI 2000 RIC 312 Bronze;;1;0550;1095,00;423,75;447,06;3907732;2021-09-22;;;211662952
INNO001;STARKEY;FA;21424649;2021-09-24;15;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3907732;2021-09-22;;;
INNO001;STARKEY;FA;21424649;2021-09-24;16;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3907814;2021-09-22;;;191032488
INNO001;STARKEY;FA;21424649;2021-09-24;17;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3907815;2021-09-22;;;191032491
INNO001;STARKEY;FA;21424649;2021-09-24;18;REPA;RRCICC9;REPARATION GRATUITE;;1;0550;0,00;0,00;0,00;3908151;2021-09-23;;;7017121762
INNO001;STARKEY;FA;21424649;2021-09-24;19;TEL;43044-000;MICROPHONE DE TABLE;;1;0550;349,00;300,00;316,49;3908884;2021-09-24;TEL;;2122AM72386
INNO001;STARKEY;FA;21424649;2021-09-24;20;AC;43041-000;Chargeur Intra-auriculaires;;1;0550;150,00;80,00;84,40;3909019;2021-09-24;;;212890397E
INNO001;STARKEY;FA;21424649;2021-09-24;21;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3909019;2021-09-24;;;
INNO001;STARKEY;FA;21424649;2021-09-24;22;PR;63219-SHT;STARKEY LIVIO EDGE AI 2400 ITE R;;1;0550;1425,00;598,75;631,68;3909198;2021-09-24;;;7021370352
INNO001;STARKEY;FA;21424649;2021-09-24;23;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3909198;2021-09-24;;;
